Location,date,total_cases,total_deaths,DeathPercentage
Afghanistan,2/24/2020,1,,0
Afghanistan,2/25/2020,1,,0
Afghanistan,2/26/2020,1,,0
Afghanistan,2/27/2020,1,,0
Afghanistan,2/28/2020,1,,0
Afghanistan,2/29/2020,1,,0
Afghanistan,3/1/2020,1,,0
Afghanistan,3/2/2020,1,,0
Afghanistan,3/3/2020,2,,0
Afghanistan,3/4/2020,4,,0
Afghanistan,3/5/2020,4,,0
Afghanistan,3/6/2020,4,,0
Afghanistan,3/7/2020,4,,0
Afghanistan,3/8/2020,5,,0
Afghanistan,3/9/2020,7,,0
Afghanistan,3/10/2020,8,,0
Afghanistan,3/11/2020,11,,0
Afghanistan,3/12/2020,12,,0
Afghanistan,3/13/2020,13,,0
Afghanistan,3/14/2020,15,,0
Afghanistan,3/15/2020,16,,0
Afghanistan,3/16/2020,18,,0
Afghanistan,3/17/2020,20,,0
Afghanistan,3/18/2020,24,,0
Afghanistan,3/19/2020,25,,0
Afghanistan,3/20/2020,29,,0
Afghanistan,3/21/2020,30,,0
Afghanistan,3/22/2020,34,1,0.000002568822544993633
Afghanistan,3/23/2020,41,1,0.000002568822544993633
Afghanistan,3/24/2020,43,1,0.000002568822544993633
Afghanistan,3/25/2020,76,2,0.000005137645089987266
Afghanistan,3/26/2020,80,3,0.0000077064676349809
Afghanistan,3/27/2020,91,3,0.0000077064676349809
Afghanistan,3/28/2020,107,4,0.000010275290179974532
Afghanistan,3/29/2020,118,4,0.000010275290179974532
Afghanistan,3/30/2020,146,4,0.000010275290179974532
Afghanistan,3/31/2020,175,4,0.000010275290179974532
Afghanistan,4/1/2020,197,4,0.000010275290179974532
Afghanistan,4/2/2020,240,4,0.000010275290179974532
Afghanistan,4/3/2020,275,8,0.000020550580359949065
Afghanistan,4/4/2020,300,10,0.000025688225449936333
Afghanistan,4/5/2020,338,12,0.0000308258705399236
Afghanistan,4/6/2020,368,15,0.0000385323381749045
Afghanistan,4/7/2020,424,16,0.00004110116071989813
Afghanistan,4/8/2020,445,16,0.00004110116071989813
Afghanistan,4/9/2020,485,17,0.00004366998326489177
Afghanistan,4/10/2020,532,18,0.0000462388058098854
Afghanistan,4/11/2020,556,18,0.0000462388058098854
Afghanistan,4/12/2020,608,19,0.00004880762835487903
Afghanistan,4/13/2020,666,22,0.00005651409598985993
Afghanistan,4/14/2020,715,23,0.000059082918534853566
Afghanistan,4/15/2020,785,29,0.00007449585380481537
Afghanistan,4/16/2020,841,30,0.000077064676349809
Afghanistan,4/17/2020,907,30,0.000077064676349809
Afghanistan,4/18/2020,934,30,0.000077064676349809
Afghanistan,4/19/2020,997,33,0.0000847711439847899
Afghanistan,4/20/2020,1027,36,0.0000924776116197708
Afghanistan,4/21/2020,1093,36,0.0000924776116197708
Afghanistan,4/22/2020,1177,40,0.00010275290179974533
Afghanistan,4/23/2020,1236,40,0.00010275290179974533
Afghanistan,4/24/2020,1331,43,0.00011045936943472623
Afghanistan,4/25/2020,1464,47,0.00012073465961470075
Afghanistan,4/26/2020,1532,52,0.00013357877233966892
Afghanistan,4/27/2020,1704,58,0.00014899170760963073
Afghanistan,4/28/2020,1830,59,0.00015156053015462438
Afghanistan,4/29/2020,1940,61,0.0001566981752446116
Afghanistan,4/30/2020,2127,64,0.00016440464287959252
Afghanistan,5/1/2020,2291,68,0.00017467993305956707
Afghanistan,5/2/2020,2470,72,0.0001849552232395416
Afghanistan,5/3/2020,2705,85,0.00021834991632445884
Afghanistan,5/4/2020,2895,90,0.000231194029049427
Afghanistan,5/5/2020,3225,95,0.00024403814177439517
Afghanistan,5/6/2020,3393,104,0.00026715754467933784
Afghanistan,5/7/2020,3564,106,0.0002722951897693251
Afghanistan,5/8/2020,3781,109,0.000280001657404306
Afghanistan,5/9/2020,4042,115,0.0002954145926742678
Afghanistan,5/10/2020,4403,120,0.000308258705399236
Afghanistan,5/11/2020,4687,122,0.0003133963504892232
