Location,date,total_cases,new_cases,total_deaths,population
Afghanistan,2/24/2020,1,1,,38928341
Afghanistan,2/25/2020,1,0,,38928341
Afghanistan,2/26/2020,1,0,,38928341
Afghanistan,2/27/2020,1,0,,38928341
Afghanistan,2/28/2020,1,0,,38928341
Afghanistan,2/29/2020,1,0,,38928341
Afghanistan,3/1/2020,1,0,,38928341
Afghanistan,3/2/2020,1,0,,38928341
Afghanistan,3/3/2020,2,1,,38928341
Afghanistan,3/4/2020,4,2,,38928341
Afghanistan,3/5/2020,4,0,,38928341
Afghanistan,3/6/2020,4,0,,38928341
Afghanistan,3/7/2020,4,0,,38928341
Afghanistan,3/8/2020,5,1,,38928341
Afghanistan,3/9/2020,7,2,,38928341
Afghanistan,3/10/2020,8,1,,38928341
Afghanistan,3/11/2020,11,3,,38928341
Afghanistan,3/12/2020,12,1,,38928341
Afghanistan,3/13/2020,13,1,,38928341
Afghanistan,3/14/2020,15,2,,38928341
Afghanistan,3/15/2020,16,1,,38928341
Afghanistan,3/16/2020,18,2,,38928341
Afghanistan,3/17/2020,20,2,,38928341
Afghanistan,3/18/2020,24,4,,38928341
Afghanistan,3/19/2020,25,1,,38928341
Afghanistan,3/20/2020,29,4,,38928341
Afghanistan,3/21/2020,30,1,,38928341
Afghanistan,3/22/2020,34,4,1,38928341
Afghanistan,3/23/2020,41,7,1,38928341
Afghanistan,3/24/2020,43,2,1,38928341
Afghanistan,3/25/2020,76,33,2,38928341
Afghanistan,3/26/2020,80,4,3,38928341
Afghanistan,3/27/2020,91,11,3,38928341
Afghanistan,3/28/2020,107,16,4,38928341
Afghanistan,3/29/2020,118,11,4,38928341
Afghanistan,3/30/2020,146,28,4,38928341
Afghanistan,3/31/2020,175,29,4,38928341
Afghanistan,4/1/2020,197,22,4,38928341
Afghanistan,4/2/2020,240,43,4,38928341
Afghanistan,4/3/2020,275,35,8,38928341
Afghanistan,4/4/2020,300,25,10,38928341
Afghanistan,4/5/2020,338,38,12,38928341
Afghanistan,4/6/2020,368,30,15,38928341
Afghanistan,4/7/2020,424,56,16,38928341
Afghanistan,4/8/2020,445,21,16,38928341
Afghanistan,4/9/2020,485,40,17,38928341
Afghanistan,4/10/2020,532,47,18,38928341
Afghanistan,4/11/2020,556,24,18,38928341
Afghanistan,4/12/2020,608,52,19,38928341
Afghanistan,4/13/2020,666,58,22,38928341
Afghanistan,4/14/2020,715,49,23,38928341
Afghanistan,4/15/2020,785,70,29,38928341
Afghanistan,4/16/2020,841,56,30,38928341
Afghanistan,4/17/2020,907,66,30,38928341
Afghanistan,4/18/2020,934,27,30,38928341
Afghanistan,4/19/2020,997,63,33,38928341
